epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1064.3,1.34003,3.2826,1.20961,0.00163,0.46216,0.07339,0.03483,1.11228,4.30541,1.13854,0.000545744,0.000545744,0.000545744
2,2368.9,1.23717,2.30566,1.13938,0.32471,0.38441,0.30353,0.17837,1.27487,3.21006,1.25733,0.0010796,0.0010796,0.0010796
3,3789.46,1.22817,2.04521,1.16114,0.41728,0.71996,0.43388,0.26539,1.3439,2.29098,1.24502,0.00159146,0.00159146,0.00159146
4,5206.73,1.24919,1.8218,1.16222,0.46926,0.58237,0.39058,0.25601,1.31151,2.24094,1.16759,0.00156798,0.00156798,0.00156798
5,7082.42,1.20277,1.5947,1.15049,0.45705,0.77642,0.4736,0.30217,1.23707,1.58796,1.14026,0.00153497,0.00153497,0.00153497
6,8581.58,1.17915,1.50492,1.11879,0.45908,0.8199,0.48261,0.34109,1.08721,1.48867,1.09035,0.00150197,0.00150197,0.00150197
7,9762.04,1.10238,1.35694,1.09419,0.44504,0.72246,0.47431,0.32401,1.1453,1.42916,1.09376,0.00146896,0.00146896,0.00146896
8,11017.2,1.10716,1.33763,1.08405,0.45722,0.80829,0.48546,0.34731,1.01479,1.35012,1.03264,0.00143595,0.00143595,0.00143595
9,12242.3,1.10226,1.3147,1.08401,0.44549,0.83065,0.49475,0.34557,1.05227,1.29733,1.05304,0.00140295,0.00140295,0.00140295
10,13396.7,1.10252,1.28832,1.09037,0.4768,0.79467,0.48499,0.32843,1.13532,1.38816,1.07357,0.00136994,0.00136994,0.00136994
11,14675.7,1.06116,1.22721,1.07055,0.45871,0.83214,0.48899,0.3475,1.04516,1.26079,1.03976,0.00133693,0.00133693,0.00133693
12,15550.3,1.09459,1.24246,1.07124,0.47094,0.78289,0.48682,0.35349,1.04047,1.24885,1.05381,0.00130393,0.00130393,0.00130393
13,16810.9,1.03803,1.19922,1.06332,0.44105,0.84556,0.47754,0.34673,1.00778,1.27339,1.05974,0.00127092,0.00127092,0.00127092
14,18184.4,1.03834,1.19284,1.04889,0.45706,0.79703,0.46549,0.33602,1.00988,1.26529,1.04349,0.00123791,0.00123791,0.00123791
15,19576.1,1.06777,1.17388,1.06671,0.4601,0.76418,0.47709,0.34054,1.02988,1.2975,1.07714,0.00120491,0.00120491,0.00120491
16,20894.2,1.01497,1.14582,1.05343,0.44864,0.82285,0.47106,0.32785,1.00417,1.22605,1.03035,0.0011719,0.0011719,0.0011719
17,22385.2,1.03821,1.15318,1.05096,0.46033,0.8134,0.46616,0.33681,0.97452,1.22249,1.02078,0.00113889,0.00113889,0.00113889
18,23516.2,0.9886,1.12316,1.0201,0.43429,0.82845,0.46072,0.33713,0.96028,1.39606,1.0297,0.00110589,0.00110589,0.00110589
19,24793.1,1.02841,1.13247,1.05617,0.46797,0.83214,0.48183,0.34033,0.9871,1.24294,1.03501,0.00107288,0.00107288,0.00107288
20,26109.3,0.97479,1.10703,1.03131,0.45322,0.8124,0.47263,0.33023,1.03992,1.19482,1.04384,0.00103987,0.00103987,0.00103987
21,27625.9,1.00535,1.10965,1.0479,0.43445,0.8686,0.4721,0.33818,0.98212,1.15254,1.02263,0.00100687,0.00100687,0.00100687
22,46313.5,0.9588,1.06183,1.02481,0.45045,0.85811,0.46871,0.33624,0.95304,1.1663,1.01249,0.000973861,0.000973861,0.000973861
23,47419.9,0.97332,1.04906,1.02398,0.47984,0.82283,0.50668,0.35427,0.99388,1.17429,1.01336,0.000940855,0.000940855,0.000940855
24,48499,0.94932,1.05587,1.02171,0.44077,0.86061,0.47283,0.34233,0.9307,1.16645,1.00044,0.000907848,0.000907848,0.000907848
25,49656.3,0.93343,1.02063,1.01631,0.42208,0.87529,0.47418,0.341,0.9502,1.32063,1.00991,0.000874842,0.000874842,0.000874842
26,50840.3,0.97582,1.03092,1.02175,0.4522,0.82341,0.46084,0.34015,0.95117,1.47181,1.02556,0.000841835,0.000841835,0.000841835
27,52118.2,0.93124,1.05126,1.0112,0.43903,0.84592,0.45907,0.32972,0.92597,1.17737,1.00623,0.000808828,0.000808828,0.000808828
28,53470.7,0.93811,0.99132,1.0152,0.43006,0.86759,0.47373,0.33018,0.99205,1.13868,1.03248,0.000775822,0.000775822,0.000775822
29,54673,0.93435,0.97666,1.00467,0.45678,0.86416,0.49472,0.34729,0.98639,1.23836,1.02999,0.000742815,0.000742815,0.000742815
30,55756.2,0.91574,0.96126,1.00535,0.43816,0.77889,0.47603,0.32499,1.01942,1.14981,1.03615,0.000709809,0.000709809,0.000709809
31,56953.4,0.92261,0.94339,0.9932,0.42679,0.84588,0.45938,0.32303,0.94129,1.59158,1.01672,0.000676802,0.000676802,0.000676802
32,59638.9,0.91952,0.94607,1.00389,0.41559,0.86257,0.46089,0.32642,0.95819,1.45187,1.02831,0.000643795,0.000643795,0.000643795
33,61830.8,0.91716,0.91477,1.00998,0.43897,0.84263,0.47433,0.33635,0.93618,1.1991,1.00827,0.000610789,0.000610789,0.000610789
34,97432.1,0.88715,0.9255,0.99427,0.41952,0.8775,0.44303,0.31221,0.98088,1.28397,1.03229,0.000577782,0.000577782,0.000577782
35,98368.3,0.91021,0.92575,1.00471,0.43817,0.84688,0.45544,0.3227,0.98687,1.30453,1.04578,0.000544776,0.000544776,0.000544776
